id,id_topic,cs_lemma,cs_examples,literal_en,meanings_en,preffered_rendering_en,detector_notes,source,# of sentences -1,difficulty
1,,házet|flinta|do|žito,"Po prvním neúspěchu hned hodila flintu do žita.|Neměl bys házet flintu do žita, ještě není konec.|Nesmíš hned hodit flintu do žita kvůli jednomu neúspěchu.",to throw the rifle into the rye,to give up|to abandon an effort prematurely,to throw in the towel,Opaque: verb heavily inflects (hodil/neházej/házet). Object flintu=accusative.,,2,hard
2,,aby|se|vlk|nažrat|a|koza|zůstat|celý,"Co dělat, aby se vlk mohl nažrat a koza mohla zůstat celá?|Jen prázdné gesto, aby se vlk nažral a koza zůstala celá.|Jak je možné, že vlk se nažere a koza zůstane celá?",so that the wolf eats its fill and the goat remains intact,to satisfy both sides|have it both ways|to please both parties,to satisfy both sides|have it both ways|to please both parties|win-win situation,"SENTENTIAL, two clauses, free order.",,2,hard
3,,ani|ň,"Ty o tom nevíš ani ň.|Neřekl ani ň.|Zkoušel jsem z ní dostat pravdu, ale ona ani ň.",not even a 'ň',not a word|not a sound|nothing at all,not a word|not a sound,"Frozen, strict adjacency (ani+ň).",,2,easy
4,1,ať|to|stát|co|to|stát,"Nakonec se dohodli, že budou obchodovat společně, ať to stojí, co to stojí.|Rozhodl se prosadit změnu, ať to stojí, co to stojí.|Snaží se uspět, ať to stojí, co to stojí.",let it cost what it costs,at all costs|whatever it takes|no matter the price,at all costs|whatever it takes|no matter the price|no matter what,stát here = COST. LEMMA COLLIDES with id 5 (differs only by ať/to scaffold). Polysemy trap.,,2,medium
5,1,stát|co|stát,"Stojí za svým názorem stůj co stůj.|Brání zájmy státu stůj co stůj.|Snaží se udržet pozici, stůj co stůj.|Stůj co stůj se snažil nevypadat hloupě.","stand, whatever stands",at all costs|whatever it takes|no matter the price,at all costs|whatever it takes|no matter the price|no matter what,"stát here = STAND (imperative). Frozen, non-inflecting. LEMMA COLLIDES with id 4.",,3,hard
6,1,za|každý|cena,Chce uspět za každou cenu.|Snaží se udržet moc za každou cenu.|Za každou cenu se tam snažila dostat.,for every price,at all costs|whatever it takes|no matter the price,at all costs|whatever it takes|no matter the price|no matter what,"CONTROL: near-transparent, literal≈figurative. Should need NO fix - if intervention breaks it, that's a signal.",,2,easy
7,,až|napršet|a|uschnout,"Až naprší a uschne.|Můj syn si ten pokoj uklidí, až naprší a uschne.|Tuhle silnici opraví, až naprší a uschne.",when it rains and dries up,never,when pigs fly|when hell freezes over,Perfective lemmas napršet/uschnout - VERIFY lemmatizer output. ,,2,hard
8,,až|by|brečet,"Až bych brečel.|Ten film je tak hrozný, až bych brečela.|Bylo to tak krásné, až bych brečel.|Situace je absurdní, až by člověk brečel.|Ten výkon byl tak špatný, až bych brečel.",so much that I would cry,"an intensifier signaling strong emotion, positive or negative, provoked by context",enough to make you weep,"Productive construction (až by + V), not a frozen lexical idiom. Polarity (positive/negative) set by context, not the phrase. Recommend excluding from core idiom eval or tagging as 'construction'.",,4,medium
9,,doslova|a|do|písmeno,Doslova a do písmene.|Příkaz šéfa jsme splnili do slova a do písmene.|Svědek zopakoval její výpověď do slova a do písmene.,literally and to the letter,exactly as stated,to the letter|word for word,,,2,easy
10,,bát|se|jako|čert|kříž,"Bojí se toho jako čert kříže.|Malý pes se bál velkého vlčáka jako čert kříže a raději zalezl pod plot.|Bojí se zubaře jako čert kříže, a proto odkládá preventivní prohlídky.|Petr se novým technologiím vyhýbá a modernímu softwaru se bojí jako čert kříže.|Šéf se bojí jakéhokoli rozhodování jako čert kříže.",to fear something like the devil fears the cross,to be extremely afraid of something|to actively avoid it,to be afraid of it like the plague|to be scared stiff of,Comparative simile; object slot varies or misses,,4,hard
11,2,za|hubička,Tam seženeš rybíz za hubičku.|Využili jsme výprodeje a nakoupili nové letní oblečení za hubičku.|Sehnat dnes lístky do divadla za hubičku je skoro nemožné.,for a little kiss,cheap,for a song,,,2,easy
12,2,za|babka,Prodáváme knihy a potraviny za babku.|V té slevové akci nabízeli zimní kabáty vyloženě za babku.|Koupil jsem ten starožitný stůl na bleším trhu za babku.,for a granny,cheap,for a song,,,2,easy
13,,běhat|za|každý|sukně,"Ty taky běháš hned za každou.|Kdysi běhal za každou sukní, ale od té doby, co potkal Martinu, se úplně změnil.|Místo práce a studia běháš za každou sukní, s takovým přístupem ve škole neuspěješ.",to run after every skirt,to pursue almost every woman one meets,to chase every skirt,,,2,medium
14,,bojovat|s|větrný|mlýn,"Vysvětlovat mu, že nemá věřit dezinformacím, je jako bojovat s větrnými mlýny.|Za boj s větrnými mlýny se označuje marný a předem prohraný boj.|Bojovat proti dezinformacím na internetu často připomíná boj s větrnými mlýny.",fight with windmills,"a futile or pointless struggle against an imagined, exaggerated, or unchangeable problem",tilting at windmills,Also appears nominalised (boj s větrnými mlýny). Cultural allusion (Don Quixote).,,2,medium
15,,brát|na|lehký|váha,Bereš to moc na lehkou váhu.|Příznaky nemoci by se neměly brát na lehkou váhu.|Dlouhodobé neshody ve vztahu nelze brát na lehkou váhu.,to take something on a light weight,to underestimate something|to treat something as less important,to take something lightly,,,2,easy
16,,levý|zadní,To zvládneš levou zadní.|Tu dnešní písemku z matematiky jsem zvládl levou zadní.|Zvládni maturitu z českého jazyka levou zadní!,left back,without real effort or difficulty,with one hand tied behind your back|with your eyes closed,,,2,easy
17,,brát|do|ústa,"Vůbec si neber mého kamaráda do úst.|Neber si ho do úst, vůbec nevíš, co všechno má za sebou.|Ještě jednou vezmeš to jméno do úst a uvidíš!|Sousedé nemají co dělat, tak si nás berou do úst každý den.",to take someone into the mouth,to talk about someone critically,to speak ill of someone,"Separable: reflexive/object slot inserts between verb and 'do úst' (e.g. 'bral si ho do úst'). Requires gapped matching, not strict adjacency.",,3,hard
18,3,brnkat|na|nerv,"Nejdříve jen brnkal sociální demokracii na nervy.|To zdlouhavé čekání na úřadě mi opravdu brnká na nervy.|Přestaň s tím klepáním tužkou, strašně mi tím brnkáš na nervy.",to strum on someone’s nerves,to irritate or annoy,to get on someone’s nerves,Synonym pair with id 19 and id 20,,2,medium
19,3,lézt|na|nerv,"Ty mi dnes ale lezeš na nervy.|Hluk z nedaleké továrny dlouhodobě leze na nervy místním starousedlíkům.|Nerada bych, aby mi to časem začalo lézt na nervy.",to climb onto someone’s nerves,to irritate or annoy,to get on someone’s nerves,Synonym pair with id 18 and id 20 → same EN rendering.,,2,medium
20,3,drásat|nerv,Ten hluk mi drásá nervy.|Sledovali jsme nervy drásající zápas.|Čekání na výsledky lékařských testů bylo nervy drásající.|Už mi nedrásaj nervy a řekni mi konečně pravdu!|Závěr zápasu by mohl drásat nervy všem fanouškům.,to tear/shred someone's nerves,to irritate or annoy,to get on someone's nerves,"Synonym pair with id 18 and id 19. ""nervy drásající"" = adjectivum, ""drásat nervy"" is verbum + object.",,4,hard
21,,být|jeden|velký|ucho,"Jsem jedno velké ucho.|Když babička vyprávěla své vzpomínky z dětství, celá rodina byla jedno velké ucho.|Nemusíš spěchat, nikam neodcházím a jsem jedno velké ucho.",to be one big ear,to listen very attentively,to be all ears,"Adjective 'jeden' agrees with noun gender/number -> surface 'jedno' (ucho is neuter). Lemma stores masc. base form; matcher must accept inflected agreement, not literal 'jeden'.",,2,medium
22,,být|na|někdo|krátký,"Úřady jsou na prokazování pochybného otcovství krátké.|Na ptáky jsme krátký.|Zkoušel jsem s ním zápasit, ale byl jsem na něj krátký.|Na opravu motoru jsem byl krátký a musel jsem zavolat automechanika.",to be short on someone,to be unable to outmatch or control,to be no match for someone,"někdo' is a placeholder for the target (pronoun/name), not literal text to match - real sentences have 'na mě', 'na něj', etc. ",,3,medium
23,,být|na|váha,"Jsem na vážkách, jestli koupit nový telefon, nebo ne.|Jsem na vážkách, jestli tu práci přijmout.|Kandidát byl dlouho na vážkách, ale nakonec naši pracovní nabídku přijal.|Pokud jste stále na vážkách, zda se do kurzu přihlásit, doporučuji pročíst recenze ostatních studentů.",to be on scales,to be uncertain about a decision,be on the fence,"""vážka"" (little scale) comes from ""váha"" (scale), ""vážit"" = to weigth",,3,hard
24,,být|pečený|vařený,"Bývala u nebožky mámy pečená, vařená.|Býval v hospodě pečenej vařenej.|Pavel se s novými sousedy hned spřátelil a od té doby je u nich pečený vařený.",to be baked and boiled,to be constantly present somewhere,to be a regular,"""pečenej vařenej"" is an informal variant",,2,medium
25,,být|putna,"Prezidentovi je to putna.|Je mi to putna.|Opravdu nevím, jestli půjdeme do kina, nebo zůstaneme doma - je mi to putna.|Proč se s tím vůbec trápíš, mně už je to naprostá putna.",to be a knapsack,to not care at all,not to care,free order,,3,medium
26,,být|sto|rok|za|opice,"V tomhle směru jste sto let za opicemi.|Pokud jde o novinky v IT, někteří lidé jsou sto let za opicemi.|S těmito názory na roli žen ve společnosti jsi sto let za opicemi.",to be a hundred years behind the monkeys,to be very outdated,to be behind the times,,,2,hard
27,,být|trn|v|oko,"Jeho pozdní příchody jsou trnem v oku celému týmu.|Její otevřenost a úspěch byly v maloměstě, kde všichni žili podle starých zvyků, trnem v oku.|Rychlost a technika mladého útočníka byla pro obránce soupeře trnem v oku po celý zápas.",to be a thorn in someone’s eye,to be a constant irritation to someone,a thorn in someone’s side,"Note: CS says 'eye', EN says 'side' - literal mismatch.",,2,medium
28,,být|v|ráže,"Náš útočník byl včera v ráži, nastřílel soupeři hned tři góly.|Už s ním radši nemluv, je v ráži a křičí na každého.|Kolega byl v takové ráži, že překřičel všechny v místnosti.|Kytarista byl v takové ráži, že jeho sólo trvalo deset minut.|Když je máma v ráži, uklidí celý dům za jedno odpoledne.",to be in the gauge,to be in a highly energized or enthusiastic,to be in full swing,to be on fire,,4,hard
29,,chlubit|se|cizí|peří,"Učitel hned poznal, že žák okopíroval úkol od kamaráda a chlubí se cizím peřím.|Chlubit se cizím peřím se v akademickém světě přísně trestá.|Opět se ukázalo, že se ráda chlubí cizím peřím.",to boast with someone else’s feathers,to take credit for someone else’s work,to take credit for someone else’s work,,,2,medium
30,,chodit|kolem|horký|kaše,"Přestaň chodit kolem horké kaše a konečně mi řekni, kolik potřebuješ půjčit peněz.|Nechodil kolem horké kaše a rovnou nám řekl, že projekt má finanční problémy.|Na poradě nemáme čas chodit kolem horké kaše, pojďme hned k bodu číslo jedna.|Klient dlouho chodil kolem horké kaše, než konečně přiznal, že na projekt nemá rozpočet.",to walk around hot porridge,to avoid addressing the main topic directly,to beat around the bush,Variant preposition: 'kolem' and 'okolo' both attested (chodit kolem/okolo horké kaše).,,3,medium
31,,jako|tělo|bez|duše,"Když se to dozvěděla, chodila celý týden jako tělo bez duše.|Byl po těžké chřipce, a tak jen chodil po domě jako tělo bez duše.|Po rozchodu s přítelkyní chodil celý týden jako tělo bez duše a vůbec nevnímal okolní svět.|Po probdělé noci v nemocnici bloumala chodbami jako tělo bez duše.",like a body without a soul,to be exhausted or emotionally lifeless,like a lifeless shell,or: to be a walking corpse|to be dead on one’s feet,,3,medium
32,,chodit|za|škola,"Moje dítě chodí za školu, co s tím?|Tento motiv studenta vedl k tomu, aby šel za školu.|Petr často chodil za školu, aby mohl s kamarády hrát videohry v parku.|Když jsme byli mladí, občas jsme chodili za školu, protože jsme si chtěli užít sluníčko.",to walk behind school,to be absent from school without permission,to skip school|to cut class|to bunk off|to be truant,,,3,medium
33,,danajský|dar,"Pes, kterého sestra pořídila svým dětem, byl nakonec danajským darem, neboť se přišlo na to, že oba sourozenci trpí alergií.|Dostal jsem danajský dar.|Slibný projekt se ukázal být danajským darem, protože nás stál všechny zaměstnance.",gift of the Danaans,something given as a gift that actually causes harm,a Trojan horse,Inflects (danajským darem). Cultural allusion.,,2,medium
34,15,dát|kopačka,"Dala mu kopačky, protože si našla jiného.|Po třech letech chození mu nečekaně dala kopačky.|Už ho nemá ráda, proto mu chce dneska dát kopačky.|Jestli budeš pořád tak žárlivý, brzy dostaneš kopačky.",to give someone football boots,to dump someone,to dump someone,"Akusativ case of ""kopačka"". Used in romantic relationships.",,3,medium
35,15,dát|koš,"Chodila jsem s ním skoro šest let, ale nakonec jsem mu dala košem.|Pozval jsem ji na večeři, ale dala mi košem.|Uspořádal oslavu, ale většina kamarádů mu dala košem.",to give someone with a basket,to turn someone down,to turn someone down,"Instrumental case of ""koš""",,2,medium
36,15,poslat|k|voda,"Poté, co jí potřetí lhal, se rozhodla ho konečně poslat k vodě.|Po pěti letech ho bez varování poslala k vodě.|Karel se choval jako sobec, tak jsem ho poslal k vodě.",to send someone to the water,"to reject, especially by ending a romantic relationship",to dump someone|to ditch someone,Synonym to id 34. Used in romantic relationships or friendships,,2,medium
37,16,dát|padák,"Šéf mu dal padáka kvůli častým pozdním příchodům.|Nemůžeš mu dát padáka jen proto, že má jiný názor než ty.|Nový manažer se s nikým nemazlil a půlce týmu dal padáka.|Chová se hrozně, právě teď mu šéf dává padáka v kanceláři.",to give someone a parachute,to fire someone,to give someone the sack,"Giver of ""padák"". Similar to id 38",,3,medium
38,16,dostat|padák,"Jestli nezačneš pořádně pracovat, dostaneš padáka.|Když ten projekt nestihneme včas, všichni dostaneme padáka.|Petr udělal obrovskou chybu v účetnictví a okamžitě dostal padáka.|Firma musela kvůli krizi propouštět, takže dostal padáka hned první týden.",to get the parachute,to be fired,to get sacked,"Reciever of ""padák"". Similar to id 37",,3,medium
39,,dát|co|proto,"Když učitel zjistil, že děti opisují, dal jim co proto.|Až ho trenér uvidí, dá mu co proto za to, že včera nepřišel na trénink.|Jestli ty hračky hned neuklidíš, máma ti dá co proto.|Náš tým dal včera soupeři pořádně co proto.",to give someone what for that,to make someone suffer the consequences of their behaviour by punishing,to give someone what for,free order,,3,hard
40,,dělat|mrtvý|brouk,"Když se ptali, kdo rozbil okno, dělal mrtvého brouka.|Když se jí snažili dovolat, dělala mrtvého brouka a vypnula si telefon.|Půjčil jsem mu peníze, ale teď dělá mrtvého brouka a nebere mi telefon.",to play a dead beetle,to go silent and avoid involvement,to ignore,,,2,medium
41,4,přivřít|oko,"Šéf přivřel oko nad tím, že přišel kolega o pět minut později.|Policie přivřela oko nad špatným parkováním, protože bylo málo míst.|Babička vždycky přivřela oko nad našimi klukovinami.",to close an eye or eyes to something,to intentionally ignore or forgive a minor fault,to turn a blind eye to something,Object number varies: 'přivřít oko' (sg) and 'přivřít oči' (pl) both occur. Match either singular or plural form of the noun.,,2,medium
42,4,přimhouřit|oko,"Šéf dnes přimhouřil oko nad mým pozdním příchodem.|Revizor přimhouřil oko a nedal mi pokutu, když viděl, že mi aplikace s jízdenkou nefunguje.|Úřad přimhouřil oko nad drobnou chybou ve formuláři a žádost schválil.",to squint one eye,to intentionally ignore or forgive a minor fault,to turn a blind eye to something,Same object-number variation as id 41 (přimhouřit oko/oči).,,2,medium
43,,dělat|z|komár|velbloud,"Klid, nedělejte z komára velblouda, je to jen obyčejná rýma.|Opět dělal z komára velblouda.|Nedělej z komára velblouda, byl to jen vtip.",to make a camel out of a mosquito,to exaggerate a minor problem,to make a mountain out of a molehill,Clean literal-vs-figurative disconnect,,2,medium
44,5,dělat|Zagorka,"Už je na čase přestat dělat Zagorku a konečně nám říct své rozhodnutí.|Prosím tě, nedělej Zagorku a udělej to.|Přestaň už dělat zagorku a pojď s námi konečně ven!|Kamarádka sice nejdřív dělala zagorku, že nemá čas, ale nakonec dorazila.|Líbí se mu, jak schválně dělá zagorku, aby nebyla moc snadný cíl.",act like Zagorka,to hesitate unnecessarily,to make a fuss,Zagorka (upper case) or zagorka (lower case) both are the same,,4,medium
45,5,dělat|cavyky,"Nedělej s tím takové cavyky a prostě to podepiš.|Řekl jsem mu pravdu rovnou do očí, abychom kolem toho nedělali cavyky.|Už hodinu se rozhoduje, co si dá k jídlu, zkrátka dělá cavyky.",to make cavyky,to hesitate unnecessarily,to make a fuss,,,2,medium
46,,do|nebe|volat,"To, že někteří lidé nemají co jíst, zatímco jiní plýtvají miliony, je do nebe volající nespravedlnost.|Je do nebe volající, jak se někteří lidé chovají k přírodě.|Okrádat staré lidi o jejich úspory je do nebe volající podlost.",crying out to heaven,outrageous,egregious,"It works as an Adjectivum. ""do nebe volající""",,2,easy
47,,do|oči|bít,"Během prezentace udělal do očí bijící chybu ve výpočtu.|Ten falešný úsměv byl prostě do očí bijící.|Šaty, které nosila v létě, byly přímo do očí bijící.|Skvrna od vína na jeho saku byla do očí bijící.",hitting into the eyes,extremely obvious,glaring,"It works as an Adjectivum. ""do očí bijící""",,3,easy
48,,do|třetice|vše|dobrý,"Dvakrát to nevyšlo, tak do třetice všeho dobrého.|Přáli jsme si holčičku, dvakrát se nám narodil kluk, tak do třetice všeho dobrého to snad vyjde.|Hoď tou kostkou ještě jednou, do třetice všeho dobrého.",on the third (attempt) all is good,success expected on the third attempt,third time’s the charm,"""do třetice všeho dobrého""",,2,easy
49,,dobrý|rada|nad|zlato,"Když jsem ztratil cestu v lese, jeho dobrá rada byla nad zlato.|Měl by sis účtovat za to poradenství, neboť dobrá rada nad zlato.|Někdy dobrá rada převyšuje hodnotu zlata.",good advice above gold,useful advice is extremely valuable,good advice is worth its weight in gold,"""dobrá rada nad zlato""",,2,medium
50,,dočkat|čas|jako|husa|klas,"Dočkej času jako husa klasu, a ono se to jednou stane.|Chtěla jsem být už velká holka, a babička vždycky říkávala, dočkej času jako husa klasu.|Dočkej času jako husa klasu a užívej si dětství, dokud můžeš.",wait for time like a goose waits for grain,be patient,patience is a virtue,POSSIBLE ERROR: canonical form is reflexive 'dočkat SE času...' - lemma is missing 'se'. ,,2,medium
51,,dotáhnout|to|někam,"Vždycky jsem věřil, že to někam dotáhneš.|S takovým přístupem by to dotáhl nanejvýš na celního inspektora.|Chceš to někam dotáhnout? Tak se snaž!| Musíš víc pracovat, abys to někam dotáhl.",to pull it somewhere,to achieve success in life or reach a certain level,to make it (somewhere),,,3,hard
52,,dvojí|metr,"Bohužel tam tehdy byl uplatňován dvojí metr, neměřilo se všem stejně.|Dvojí metr se uplatňuje snad v každé komunitě.|Když je hodnotila, použila dvojí metr.",double meter,unequal treatment of similar cases,double standards,,,2,easy
53,,hodit|do|jeden|pytel,"Neměli bychom házet všechny do jednoho pytle.|Hodil mě do jednoho pytle se všemi ostatními studentkami Filozofické fakulty.|Není fér, že mě hází do jednoho pytle s ostatními kandidáty.",to throw into one sack,to treat distinct people or things as if they are all the same,to lump together,Object (všechny) between verb and PP. Semantically near míchat hrušky.,,2,medium
54,,hodit|klacek|pod|noha,"Několik let jsem bojoval, házeli mi klacky pod nohy, ale byl jsem rozhodnut to nevzdat.|Stačilo mi jednou hodit klacek pod nohy, a už se mi tam nechtělo pracovat.|Házení klacků pod nohy ostatním není řešení.",to throw sticks under someone’s feet,to deliberately hinder or obstruct someone’s progress,to undermine efforts,SEPARABLE: dative pronoun (mi) sits between verb and object.,,2,hard
55,,hodit|šavle,"Jestli ucítím ten zkažený sýr ještě jednou, tak tady rovnou hodím šavli.|Z těch léků chci pořád házet šavli.|Nás pes hodil šavli po tom, co sežral celou čokoládu.",to throw a saber,to vomit,to puke,hodit=házet,,2,medium
56,6,horko|těžko,Po těžké nemoci se horko těžko vracel do formy.|Ztracenou důvěru bude získávat zpět jen horko těžko.|Tam budu šplhat jen horko těžko.|Tuhle horu v Rakousku se nám bude horko těžko zdolávat.,hotly hardly,barely,barely,Works as Adverbium.,,3,easy
57,6,jen|tak|tak,"Měl jsem štěstí a sehnal jsem ho jen tak tak.|Měla jsem to jen tak tak ho nenabourat.|Bylo to jen tak tak, málem spadl do rybníka.",just so-so,barely,barely,Works as Adverbium.,,2,easy
58,,já|nic|já|muzikant,"Já nic, já muzikant.|Já nic, já muzikant, já jsem v té místnosti vůbec nebyl.|Tra la lá, já nic já muzikant, zeptejte se jinde.","it wasn't me, I'm just the musician",to deny involvement or responsibility,don't look at me,,,2,easy
